Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
Способ определения мощности ядерного взрыва,https://yandex.ru/patents/doc/RU2698075C1_20190821,RU2698075C1,Воробьев Алексей Александрович (RU),2018.04.18,2019.08.21
ДИОПТРИЧЕСКИЙ ПРИЦЕЛ,https://yandex.ru/patents/doc/RU2614350C1_20170324,RU2614350C1,Топорков Алексей Анатольевич (RU),2016.01.15,2017.03.24
Устройство фиксации уколов при фехтовании на...,https://yandex.ru/patents/doc/SU880434A1_19811115,SU880434A1,,1978.12.04,1981.11.15
Способ обеззараживания внутренней поверхности...,https://yandex.ru/patents/doc/RU2200046C1_20030310,RU2200046C1,Алимов Н.И.,2001.07.05,2003.03.10
Способ обеззараживания внутренней поверхности...,https://yandex.ru/patents/doc/RU2200045C1_20030310,RU2200045C1,Алимов Н.И.,2001.07.05,2003.03.10
Способ автоматического обнаружения целей,https://yandex.ru/patents/doc/RU2588604C1_20160710,RU2588604C1,Зубарев Игорь Витальевич (RU),2015.05.25,2016.07.10
МЕТАТЕЛЬНЫЙ ЗАРЯД,https://yandex.ru/patents/doc/RU22532U1_20020410,RU22532U1,Аманов В.В.,2001.11.15,2002.04.10
АВТОМАТИЧЕСКИЙ ПИСТОЛЕТ,https://yandex.ru/patents/doc/RU2168141C2_20010527,RU2168141C2,Котельников В.И.,1999.01.11,2001.05.27
Способ уничтожения иприта,https://yandex.ru/patents/doc/RU2169598C2_20010627,RU2169598C2,Зорин А.Д.,1997.09.01,2001.06.27
Уплотнительное устройство канала ствола...,https://yandex.ru/patents/doc/RU2154791C1_20000820,RU2154791C1,Шварев Р.Я.,1999.07.27,2000.08.20
АРБАЛЕТ,https://yandex.ru/patents/doc/RU2152578C1_20000710,RU2152578C1,Стерхов Л.Н.,1999.01.05,2000.07.10
Броневое ограждение входной оптики...,https://yandex.ru/patents/doc/RU2125222C1_19990120,RU2125222C1,Сидоров Л.А.,1998.03.20,1999.01.20
ПИСТОЛЕТ-ПУЛЕМЕТ (ВАРИАНТЫ),https://yandex.ru/patents/doc/RU2102680C1_19980120,RU2102680C1,Таранцев Александр Алексеевич,1992.05.18,1998.01.20
Лазерный телескопический прицел,https://yandex.ru/patents/doc/RU2046269C1_19951020,RU2046269C1,Шамбуров В.А.,1992.10.29,1995.10.20
Электромеханический ускоритель снарядов,https://yandex.ru/patents/doc/RU2499748C1_20131127,RU2499748C1,Шипилов Павел Александрович (RU),2012.07.30,2013.11.27
ПИСТОЛЕТ,https://yandex.ru/patents/doc/RU2021575C1_19941015,RU2021575C1,Неугодов А.С.,1992.03.13,1994.10.15
Фортификационное сооружение для ведения огня,https://yandex.ru/patents/doc/RU2307307C2_20070927,RU2307307C2,Китанов Валерий Федорович (RU),2003.05.15,2007.09.27
Импульсная пиротехническая лампа оптической...,https://yandex.ru/patents/doc/RU2239264C1_20041027,RU2239264C1,Карцидзе В.Г. (RU),2003.02.07,2004.10.27
